id,nome,categoria,indirizzo,telefono,sito,rating,recensioni,stato,lat,lng,tipo_google,score
ChIJ5yesWAw05xIR5GgLpjIyWVQ,bertolashop,Abbigliamento,"Via Giuseppe Garibaldi, 134, 09127 Cagliari CA",070 665800,,4.4,134,OPERATIONAL,39.216863499999995,9.1191631,clothing_store,100
ChIJV9XLYTk15xIR4uj_dz1hUdI,Tendenze,Abbigliamento,"Via Roma, 157, 09124 Cagliari CA",351 127 2354,,4.2,75,OPERATIONAL,39.2155728,9.109813599999999,clothing_store,100
ChIJr2iOmus15xIRjhf4tOEZSI4,SoloCOMFORT-calzature-Valleverde_Callaghan_Igi&Co,Scarpe,"Via Francesco Crispi, 9/11, 09124 Cagliari CA",070 660767,,4.2,67,OPERATIONAL,39.2154889,9.1109514,shoe_store,100
ChIJvdImVCA05xIRNs6x__vYqqQ,Cenerentola Calzature Di Salvatore Mocci,Scarpe,"Via Monte Santo, 54, 09122 Cagliari CA",070 204 0100,,4.9,176,OPERATIONAL,39.2358337,9.1040941,shoe_store,100
ChIJ1bdYx4I15xIRFWxCC6vmdU4,Ice Stop (Marina) Gelateria Artigianale,Gelateria,"Via Lodovico Baylle, 18, 09124 Cagliari CA",070 205 7397,,4.9,275,OPERATIONAL,39.2147566,9.1121471,ice_cream_shop,100
ChIJWVu9uQg05xIR6jyYbkxGmHM,Gli Stefini - Artigiani del Gelato,Gelateria,"Via Giuseppe Garibaldi, 194, 09127 Cagliari CA",070 205 1046,,4.5,832,OPERATIONAL,39.21772730000001,9.1196501,ice_cream_shop,100
ChIJV5Gf_IA15xIRrOd0_xt5h9k,Casti Pasticceria Gelateria,Gelateria,"Via Roma, 123, 09124 Cagliari CA",070 1525 7546,,4.6,445,OPERATIONAL,39.2145424,9.1116452,pastry_shop,100
ChIJsahAGAY05xIR_IIWHOBK0fQ,Cremoso Dolci Emozioni Cagliari,Gelateria,"Piazza Martiri D'Italia, 1, 09124 Cagliari CA",070 251 0051,,4.3,528,OPERATIONAL,39.215507099999996,9.1161853,ice_cream_shop,100
ChIJwZzM-gw05xIRbdtMWoE6SDA,Likitta,Gelateria,"Piazza Giuseppe Garibaldi, 27, 09127 Cagliari CA",070 751 4822,,4.4,779,OPERATIONAL,39.2187805,9.1213816,ice_cream_shop,100
ChIJ9wTv63I05xIRyG6m7lUDFrU,Gelateria Artigianale Ice Stop,Gelateria,"Via Dante Alighieri, 65/A, 09128 Cagliari CA",070 494516,,4.4,674,OPERATIONAL,39.220137199999996,9.1251763,ice_cream_shop,100
ChIJbZ-6cFU15xIR86yzFmk4lZw,Sugelau,Gelateria,"Via Giuseppe Manno, 70, 09124 Cagliari CA",070 858 9399,,4.4,59,OPERATIONAL,39.2165513,9.1140752,ice_cream_shop,100
ChIJXzjhL0A15xIRXns06y4hoRM,Simbua,Ristorante,"Via Sassari, 142, 09124 Cagliari CA",070 592 6535,,4.4,582,OPERATIONAL,39.2179068,9.1113695,restaurant,100
ChIJixgKyQU05xIR86NfrlbOSY4,Il Fanà,Ristorante,"Corso Vittorio Emanuele II, 99, 09124 Cagliari CA",070 680326,,4.5,851,OPERATIONAL,39.2182295,9.1112527,seafood_restaurant,100
ChIJCWScZwA15xIRI8Fk8o4z6Sw,Ristorante da Sarah cucina tipica sarda,Ristorante,"Corso Vittorio Emanuele II, 100, 09124 Cagliari CA",389 855 8754,,4.3,216,OPERATIONAL,39.218212,9.1108987,restaurant,100
ChIJtzQlUg405xIRy9jWT_YrM3g,Ristorante Pani e Casu Cagliari,Ristorante,"Via Santa Croce, 51, 09124 Cagliari CA",070 098 5103,,4.4,1509,OPERATIONAL,39.2193432,9.1148688,italian_restaurant,100
ChIJDy43bwA15xIRdLQxf2--J9k,Pizzeria Dadà,Pizzeria,"Via Barcellona, 23, 09124 Cagliari CA",070 649 1980,,4.7,249,OPERATIONAL,39.2142991,9.112924699999999,pizza_restaurant,100
